,ID,User_ID,Problem_ID,Buggy_Line,Type,SubType,Line_ID,Repaired_Line
0,679ff6d61f1c725b109866125516b517,41,47,"int a[3000005];
",Declaration,DataTypeMisuse,4,"long long a[3000005];
"
1,679ff6d61f1c725b109866125516b517,41,47,"int n,k,t;
",Declaration,DataTypeMisuse,7,"long long n,k,t;
"
2,679ff6d61f1c725b109866125516b517,41,47,"for(int i=1;i<=n;i++)
",Control,Undefined,10,"for(long long i=1;i<=n;i++)
"
3,679ff6d61f1c725b109866125516b517,41,47,"for(int i=1;i<t;i++){
",Control,Undefined,14,"for(long long i=1;i<t;i++){
"
4,8a1d9d90d6f11e16f92792020d0c0463,50,1,"scanf(""%d,%d"",&a,&b);
",Function,FormatStringMisuse,4,"scanf(""%d %d"",&a,&b);
"
5,cd1892f08eb3653acd25674a58873128,50,11,"printf(""%d"",k);
",Function,FormatStringMisuse,17,"printf(""%d*"",k);
"
6,cd1892f08eb3653acd25674a58873128,50,11,,Function,FunctionMissing,24,"printf(""%d\n"",j);
"
7,2829da33a6068c99da895df4b3eb3f36,51,1,,Function,FunctionMissing,4,"cin>>a>>b;
"
8,36cf4287876faaa0688ee67b879bf5a0,51,10,"{18,""eighteen""},{19,""ninteen""},{20,""twenty""},{30,""thirty""},{40,""fourty""},{50,""fifty""}
",Control,Undefined,7,"{18,""eighteen""},{19,""nineteen""},{20,""twenty""},{30,""thirty""},{40,""forty""},{50,""fifty""}
"
9,7055a06a72cc131b12994ee8d6dcabb7,51,46,"for(int i = 0;i<30;i++){
",Control,LiteralMisuse,13,"for(int i = 0;i<1000000;i++){
"
10,64172fcae29bbfdcaef49f8e27164c22,53,10,"string time_1[3]={""thirty"",""forty"",""fifty""};
",Control,Undefined,7,"string time_1[4]={""twenty"",""thirty"",""forty"",""fifty""};
"
11,64172fcae29bbfdcaef49f8e27164c22,53,10,"cout<<time_1[val/10-3];
",Function,WrongIndex,12,"cout<<time_1[val/10-2];
"
12,64172fcae29bbfdcaef49f8e27164c22,53,10,"cout<<time_0[val/10]<<' ';
",Function,Undefined,14,"cout<<time_1[val/10-2]<<' ';
"
13,64172fcae29bbfdcaef49f8e27164c22,53,10,"cout << time_1[val / 10 - 3];
",Function,WrongIndex,25,"cout << time_1[val / 10 - 2];
"
14,64172fcae29bbfdcaef49f8e27164c22,53,10,"cout << time_0[val / 10] << ' ';
",Function,Undefined,27,"cout << time_1[val / 10-2] << ' ';
"
15,3733341262f04249aa9fef34d314da9a,57,15,,Function,FunctionMissing,30,"cout<<T[curh][curw]<<"" "";
"
16,3733341262f04249aa9fef34d314da9a,57,15,,Function,FunctionMissing,42,"cout<<T[curh][curw]<<"" "";
"
17,3733341262f04249aa9fef34d314da9a,57,15,,Function,FunctionMissing,54,"cout<<T[curh][curw]<<"" "";
"
18,3733341262f04249aa9fef34d314da9a,57,15,,Function,FunctionMissing,66,"cout<<T[curh][curw]<<"" "";
"
19,bcf1de2f90876f6470040a472a80adcd,64,2,"if(num[x][y] != 1 && num[x][y] != 0)return false;
",Control,WrongOperator,9,"if(num[x][y] != 1 || num[x][y] == 0)return false;
"
20,f5b4bcbaee90d4e887a397bd2bdb03f0,75,11,"for(int i = a; i < b; i++){
",Control,WrongOperator,7,"for(int i = a; i <= b; i++){
"
21,9e3315faf61784cff7dc7959dee9c738,78,87,"const int max_n = 10;
",Declaration,LiteralMisuse,3,"const int max_n = 8;
"
22,9e3315faf61784cff7dc7959dee9c738,78,87,"int result = 0;
",Declaration,DataTypeMisuse,5,"long int result = 0;
"
23,9e3315faf61784cff7dc7959dee9c738,78,87,"printf(""%d"", result);
",Function,FormatStringMisuse,20,"printf(""%ld"", result);
"
24,efcaf69f82858092e9950755a2999f78,80,87,"ans=ans*10+s[i]-'0';
",Expression,LiteralMisuse,11,"ans=ans*16+s[i]-'0';
"
25,d6f515e426812e466b887878601a169a,83,85,"printf(""\n"");
",Function,Undefined,22,
26,4d52c14668ca92d5dddcea9848919ead,87,88,"printf(""YES"");
",Function,FormatStringMisuse,50,"printf(""Yes"");
"
27,4d52c14668ca92d5dddcea9848919ead,87,88,"printf(""YES"");
",Function,FormatStringMisuse,52,"printf(""Yes"");
"
28,4d52c14668ca92d5dddcea9848919ead,87,88,"printf(""NO"");
",Function,FormatStringMisuse,54,"printf(""No"");
"
29,1ec1a4b1a22a85b9ab37c53a4ecc5aeb,90,89,"printf(""Case %d: %d"",i,num);
",Function,FormatStringMisuse,38,"printf(""Case %d: %d\n"",i,num);
"
30,deca45528fe005c12687672f0e3884a6,91,84,"printf("" %d"",a[i]);
",Function,FormatStringMisuse,18,"printf(""%d "",a[i]);
"
31,83ceee5b40d6e2a94db514ee5d948a44,97,83,"printf(""%0f"",s);
",Function,FormatStringMisuse,35,"printf(""%.2f"",s);
"
32,c58a6a4927978cacae8eb4f93c28078e,97,87,"long  sum;
",Declaration,Undefined,5,"long long int sum=0;
"
33,c58a6a4927978cacae8eb4f93c28078e,97,87,"int q=1;
",Declaration,DataTypeMisuse,7,"long long int q=1;
"
34,c58a6a4927978cacae8eb4f93c28078e,97,87,"printf(""%ld"", sum);
",Function,FormatStringMisuse,17,"printf(""%lli"", sum);
"
35,12c30bc751662b7d173b426c49fb1f4f,105,87,"int sum=0;
",Declaration,DataTypeMisuse,8,"long long sum=0;
"
36,504d86cfa1451aa29c01337a7b20e57f,107,83,"cout<<ans<<endl;
",Function,FunctionMisuse,30,"printf(""%.2f\n"",ans);
"
37,cf94f3dc6b299b760f508efc7f312f08,107,89,"int a[n+1];
",Declaration,WrongArraySize,19,"int a[n+10];
"
38,901b7cbf810095de6da38f552f2e348d,117,84,"printf(""%d"",buf[i]);
",Function,FormatStringMisuse,12,"printf(""%d "",buf[i]);
"
39,1cf6753108fc9b377a030ea7f16b33dc,131,10,"case 4:{printf(""four"");break;};
",Function,FormatStringMisuse,8,"case 4:{printf(""four "");break;};
"
40,9720762e20f9d5ec3707ed6aa26ebdf1,131,28,,Control,ConditionMissing,24,"if(dir<0) dir=dir+4;
"
41,6296a250b195ef297a9f312fa164741f,139,86,"if(s==""ADD""){
",Control,Undefined,11,"if(s[0]=='A'){
"
42,6296a250b195ef297a9f312fa164741f,139,86,"else if(s==""DELETE""){
",Control,Undefined,20,"else if(s[0]=='D'){
"
43,6296a250b195ef297a9f312fa164741f,139,86,"else if(s==""QUERY""){
",Control,Undefined,29,"else if(s[0]=='Q'){
"
44,4b3f18bb1ef8b50e067042502436690d,139,88,"if(!vis[fx][fy]&&check(fx,fy)){
",Control,ConditionMissing,21,"if(!vis[fx][fy]&&check(fx,fy)&&g[fx][fy]==0){
"
45,4b3f18bb1ef8b50e067042502436690d,139,88,,Expression,Undefined,33,"vis[0][0]=1;
"
46,527f033b1d19ea3fc86a430f2393caf0,140,89,"printf(""%d"",sum);
",Function,FormatStringMisuse,35,"printf(""%d\n"",sum);
"
47,cbefa593fb38692e371a9bfa39e36f51,144,102,"if(left == right)
",Control,WrongOperator,5,"if(left >= right)
"
48,cbefa593fb38692e371a9bfa39e36f51,144,102,,Control,Undefined,31,"return;
"
49,cbefa593fb38692e371a9bfa39e36f51,144,102,"int QuickSort(int num[], int left, int right)",Function,ReturnTypeMisuse,3,"void QuickSort(int num[], int left, int right)"
50,c4a505108817cc5ddabc1d3eb782ec81,145,98,"memset(a,4*sizeof(a),0);
",Function,Undefined,7,"memset(a,0,sizeof(a));
"
51,7c80e4137264d56106e2d52a656d921c,146,1,"scanf(""%d %d"",x,y);
",Function,ParameterTypeMisuse,3,"scanf(""%d %d"",&x,&y);
"
52,ce2115beb9807fedb3923182203e8bb0,150,66,"int b[5],c[6];
",Declaration,WrongArraySize,5,"int b[50],c[60];
"
53,ce2115beb9807fedb3923182203e8bb0,150,66,"sumfake=sumfake/10.0;
",Expression,Undefined,22,"sumfake/=10;
"
54,91c19077f47504a4b6001ffcfab74e9e,152,101,"if(n%i) return 0;
",Control,Undefined,16,"if(n%i==0) return 0;
"
55,b0aff9eed4ea632a7f9f1e97040569b0,155,66,"if ((d1+d2+d3+d4+d5 == n) && (d2 == d6) && (d3 == d5))
",Control,VariableMisuse,13,"if ((d2+d3+d4+d5+d6 == n) && (d2 == d6) && (d3 == d5))
"
56,a990d5b60432d88654d8001a0d2b3bc3,156,1,,Function,FunctionMissing,5,"scanf(""%d %d"",&a,&b);
"
57,7fe2e48062555b0ab4d581d8252828e4,159,102,"cout<<a[i]<<endl;
",Function,Undefined,12,"cout<<a[i]<<"" "";
"
58,c00f1506f32a3cf4870918a52d96da78,164,99,"else return func(n-1)+func(n-2)*2;
",Control,Undefined,6,"else return func(n-1)+func(n-2);
"
59,ecd91f8ea617abacfd134155af1ae195,164,101,"for(long i=1;i<=mid;i++)
",Control,LiteralMisuse,9,"for(long i=2;i<=mid;i++)
"
60,c4ba5828beec7c53b2949ae3c4d01613,164,103,"cout<<""eeee""<<endl;
",Function,Undefined,13,
61,7f34362bcd19259707737d2a51eedf5c,165,103,"else printf(""-1"");
",Function,FormatStringMisuse,25,"else printf(""-1\n"");
"
62,66a27dd58a3b9325859b851112900ad3,168,98,"if((a==src[j]&&b==dst[j])||(a==dst[j]&&b==src[j])){
",Control,ConditionMissing,23,"if((a==b)||(a==src[j]&&b==dst[j])||(a==dst[j]&&b==src[j])){
"
63,e1dc5de67cf9891e63d3163d60ebb489,169,99,"else return ston(n-1)+2*ston(n-2);
",Control,Undefined,5,"else return ston(n-1)+ston(n-2);
"
64,f99c6416c0130b695cdb5a855fb3a9c0,174,99,"r=recursive(n-1)+2*(recursive(n-2));
",Expression,Undefined,10,"r=recursive(n-1)+recursive(n-2);
"
65,a078144eccc43da73b9739306a4f9f0e,185,13,"}else if(gl==l){
",Control,Undefined,23,"}else{
"
66,36b31b6047e62aca8e5a5922ef5ed225,185,31,"if(!same(x,y))	par[x] = find(y);
",Function,FunctionMisuse,21,"if(!same(find(x),find(y)))	par[find(x)] = find(y);
"
67,dcc3bb34c5f9684b9f1dcb95ad955afd,185,47,"int sum=1,current=1,i;
",Declaration,DataTypeMisuse,5,"long long int sum=1,current=1,i;
"
68,742315a8daed91630b77631fde1dfdbf,185,54,"int a[52][52],b[52][52];
",Declaration,Undefined,2,
69,742315a8daed91630b77631fde1dfdbf,185,54,,Declaration,Undefined,7,"int a[n+2][m+2],b[n+2][m+2];
"
70,8978ba618b7ae88bf5f08a19461230c7,187,125,"system(""pause"");
",Function,Undefined,24,
71,c9d8448f9343f73cfc74df17edb3af72,188,124,"i--;
",Expression,Undefined,14,
72,c9d8448f9343f73cfc74df17edb3af72,188,124,"system(""pause"");
",Control,Undefined,26,"return 0;
"
73,f25a046fca747750ab86adde5f05a353,192,120,"int left = 0, right = 2e8, mid;
",Declaration,Undefined,16,"int left = 0, right = 1 << 31 - 1, mid;
"
74,b8740d0406589be6abce007132252f69,192,125,"while(charge > 5 && five > 0)
",Control,WrongOperator,9,"while(charge >= 5 && five > 0)
"
75,8b240abad2e2b0f41f0bf1f4b2747808,196,116,"for(int j=0;j<i-j-1;j++){
",Control,VariableMisuse,9,"for(int j=0;j<n-i-1;j++){
"
76,37b1c0d057d714ab49f278b8f5ca51b3,196,124,"for(int i=2;i<45;i++){
",Control,LiteralMisuse,11,"for(int i=0;i<45;i++){
"
77,8c75ac93be675686b0ab659b5fa2548c,198,116,"printf(""%d"",a[i]);
",Function,FormatStringMisuse,12,"printf(""%d "",a[i]);
"
78,221d06a935d09b99708236d76f50995d,203,117,"int l=len2;
",Declaration,Undefined,15,"int l=0;
"
79,8d989604ae4719ee245294789032a958,205,121,"a2= ans(i+(j+1)/m,(j+1)%m,po+q)+1;
",Expression,Undefined,24,"a3= ans(i+(j+1)/m,(j+1)%m,po+q);
"
80,407eb0115d663f5edcb450989b573a67,206,116,"cout<<su[i]<<ends;
",Function,Undefined,17,"cout<<su[i]<<' ';
"
81,6c6eeb6e032d0bd22c5ea1ebb6955f14,206,125,"while( x-5>0 &&a>1)
",Control,Undefined,15,"while( x-5>=0 &&a>0)
"
82,6c6eeb6e032d0bd22c5ea1ebb6955f14,206,125,"while(x-2>a)
",Control,Undefined,20,"while(x-2>=0)
"
83,6c6eeb6e032d0bd22c5ea1ebb6955f14,206,125,"if(x=1)count++;
",Control,WrongOperator,23,"if(x==1)count++;
"
84,d38f39a4473dc3b17b167646ca4893fa,207,119,"for(j=i;j<=n;j++){
",Control,Undefined,16,"for(j=1;j<=m;j++){
"
85,d776e97b1c31b34ad8722a016ba22551,209,125,"}else{
",Control,ConditionMissing,37,"}else if(t-5*i>=0){
"
86,281448196ba615e4b2337503ed59baf7,210,120,"while(n/5){
",Control,Undefined,4,"while(n){
"
87,281448196ba615e4b2337503ed59baf7,210,120,"if(f(mid)==k){
",Control,WrongOperator,17,"if(f(mid)>=k){
"
88,ab914c068af1f75fe480911cb9a84ef3,210,124,"pre=n;
",Expression,VariableMisuse,17,"pre=i;
"
89,ce21a90b139d2243a5110aebaa16c912,210,125,"for(int j=x;j>=0;j--){
",Control,Undefined,14,"for(int j=x;j>=b[i];j--){
"
90,98dfdc7a9fd473ac8b12d8351d660fe1,211,117,"while(i<length-1)
",Control,WrongOperator,21,"while(i<=length-1)
"
91,3cdd0f1df8405fca7653fae6f82a5c24,211,125,,Function,FunctionMissing,3,"scanf(""%d%d"",&x,&a);
"
92,6f766524086ca3935453f7dffaad6a2f,213,124,"int tem=b;
",Declaration,Undefined,24,"int tem=a;
"
93,6f766524086ca3935453f7dffaad6a2f,213,124,"b=a+b;
",Expression,VariableMisuse,26,"b=tem+b;
"
94,98c7b8d796f999c5b95de2605a00a3bb,213,125,,Declaration,Undefined,27,"int tem=a5;
"
95,98c7b8d796f999c5b95de2605a00a3bb,213,125,"n=5*(a5-a);
",Expression,Undefined,28,"n+=5*(tem-a);
"
96,fa93f994de1759350294111c08cf440c,218,13,"if(s1-s2>=t){
",Control,ConditionMissing,17,"if(s1-s2>=t&&sleep==0){
"
97,c63982779e9cef6c45bbd10e8ee47d23,218,16,"for(int i=100;i<1000;i++){
",Control,LiteralMisuse,6,"for(int i=0;i<1000;i++){
"
98,5d3506926715d8ce78fe61aafbfa675a,218,17,"int a[500007];
",Declaration,WrongArraySize,2,"int a[50007];
"
99,5d3506926715d8ce78fe61aafbfa675a,218,17,"reverse(a+temp,a+wei);
",Function,Undefined,22,
100,26ab8bd3f0a7c937954732fd2a48771e,219,1,,Function,FunctionMissing,3,"scanf(""%d%d"",&a,&b);
"
101,765361377656e170008e34c424d7a780,225,26,"if(sum>n/2.0) printf(""%d"",j+1);
",Function,FormatStringMisuse,24,"if(sum>n/2.0) printf(""%d "",j+1);
"
102,9e35a849edc11cbd3ed8e1bed32a75e2,231,10,"if(h<20)
",Control,WrongOperator,12,"if(h<=20)
"
103,1dc22646984a9019631d85db832edfb0,231,15,"while(f<flag1)
",Control,Undefined,41,"while(f<=flag1&&count>0)
"
104,1dc22646984a9019631d85db832edfb0,231,15,"while(f<flag2)
",Control,Undefined,53,"while(f<=flag2&&count>0)
"
